id,store_id,num,name,month,week,day,nine,ten,eleven,twelve,thirteen,fourteen,fifteen,sixteen,seventeen,eighteen,nineteen,twenty,twenty_one,twenty_two,twenty_three,twenty_four,created_at,updated_at
70,1,3,TURNO 3 DE 45 HORAS,10,2,7,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,2018-11-19 14:08:29.217892,2018-11-19 14:08:29.217892
71,1,3,TURNO 3 DE 45 HORAS,10,3,1,f,f,t,t,t,t,t,t,t,t,t,t,f,f,f,f,2018-11-19 14:08:29.263377,2018-11-19 14:08:29.263377
72,1,3,TURNO 3 DE 45 HORAS,10,3,2,f,f,t,t,t,t,t,t,t,t,t,t,f,f,f,f,2018-11-19 14:08:29.2921,2018-11-19 14:08:29.2921
73,1,3,TURNO 3 DE 45 HORAS,10,3,3,f,f,t,t,t,t,t,t,t,t,t,t,f,f,f,f,2018-11-19 14:08:29.314524,2018-11-19 14:08:29.314524
74,1,3,TURNO 3 DE 45 HORAS,10,3,4,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,2018-11-19 14:08:29.358745,2018-11-19 14:08:29.358745
75,1,3,TURNO 3 DE 45 HORAS,10,3,5,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,2018-11-19 14:08:29.392195,2018-11-19 14:08:29.392195
76,1,3,TURNO 3 DE 45 HORAS,10,3,6,f,f,f,f,t,t,t,t,t,t,t,t,f,f,f,f,2018-11-19 14:08:29.432628,2018-11-19 14:08:29.432628
77,1,3,TURNO 3 DE 45 HORAS,10,3,7,f,f,f,f,t,t,t,t,t,t,t,t,f,f,f,f,2018-11-19 14:08:29.483131,2018-11-19 14:08:29.483131
78,1,3,TURNO 3 DE 45 HORAS,10,4,1,f,f,t,t,t,t,t,t,t,t,t,t,f,f,f,f,2018-11-19 14:08:29.562069,2018-11-19 14:08:29.562069
79,1,3,TURNO 3 DE 45 HORAS,10,4,2,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,2018-11-19 14:08:29.5931,2018-11-19 14:08:29.5931
80,1,3,TURNO 3 DE 45 HORAS,10,4,3,f,f,t,t,t,t,t,t,t,t,t,t,f,f,f,f,2018-11-19 14:08:29.626969,2018-11-19 14:08:29.626969
81,1,3,TURNO 3 DE 45 HORAS,10,4,4,f,f,t,t,t,t,t,t,t,t,t,f,f,f,f,f,2018-11-19 14:08:29.663216,2018-11-19 14:08:29.663216
82,1,3,TURNO 3 DE 45 HORAS,10,4,5,f,f,t,t,t,t,t,t,t,t,t,f,f,f,f,f,2018-11-19 14:08:29.705555,2018-11-19 14:08:29.705555
83,1,3,TURNO 3 DE 45 HORAS,10,4,6,f,f,t,t,t,t,t,t,t,t,t,f,f,f,f,f,2018-11-19 14:08:29.738043,2018-11-19 14:08:29.738043
84,1,3,TURNO 3 DE 45 HORAS,10,4,7,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,2018-11-19 14:08:29.769647,2018-11-19 14:08:29.769647
85,1,4,TURNO 4 DE 45 HORAS,10,1,1,f,f,t,t,t,t,t,t,t,t,t,t,f,f,f,f,2018-11-19 14:08:29.811009,2018-11-19 14:08:29.811009
86,1,4,TURNO 4 DE 45 HORAS,10,1,2,f,f,t,t,t,t,t,t,t,t,t,t,f,f,f,f,2018-11-19 14:08:29.842947,2018-11-19 14:08:29.842947
87,1,4,TURNO 4 DE 45 HORAS,10,1,3,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,2018-11-19 14:08:29.86099,2018-11-19 14:08:29.86099
88,1,4,TURNO 4 DE 45 HORAS,10,1,4,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,2018-11-19 14:08:29.876511,2018-11-19 14:08:29.876511
89,1,4,TURNO 4 DE 45 HORAS,10,1,5,f,f,f,f,t,t,t,t,t,t,t,t,f,f,f,f,2018-11-19 14:08:29.912879,2018-11-19 14:08:29.912879
90,1,4,TURNO 4 DE 45 HORAS,10,1,6,f,f,f,t,t,t,t,t,t,t,t,t,f,f,f,f,2018-11-19 14:08:29.93829,2018-11-19 14:08:29.93829
91,1,4,TURNO 4 DE 45 HORAS,10,1,7,f,f,t,t,t,t,t,t,t,t,t,t,f,f,f,f,2018-11-19 14:08:29.955979,2018-11-19 14:08:29.955979
92,1,4,TURNO 4 DE 45 HORAS,10,2,1,f,f,t,t,t,t,t,t,t,t,f,f,f,f,f,f,2018-11-19 14:08:29.978633,2018-11-19 14:08:29.978633
93,1,4,TURNO 4 DE 45 HORAS,10,2,2,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,2018-11-19 14:08:30.006031,2018-11-19 14:08:30.006031
94,1,4,TURNO 4 DE 45 HORAS,10,2,3,f,f,t,t,t,t,t,t,t,t,t,t,f,f,f,f,2018-11-19 14:08:30.037379,2018-11-19 14:08:30.037379
95,1,4,TURNO 4 DE 45 HORAS,10,2,4,f,f,t,t,t,t,t,t,t,t,t,f,f,f,f,f,2018-11-19 14:08:30.064619,2018-11-19 14:08:30.064619
96,1,4,TURNO 4 DE 45 HORAS,10,2,5,f,f,t,t,t,t,t,t,t,t,t,f,f,f,f,f,2018-11-19 14:08:30.095774,2018-11-19 14:08:30.095774
